       Date   Ip  Remote ASN  Flows 
  07/01/2022  17    26085  5
  07/01/2022  17    26101  15
  07/01/2022  17    26229  16
  07/01/2022  17    29720  8
  07/01/2022  17    32934  7
  07/01/2022  17    33419  2
  07/01/2022  18    25        4
  07/01/2022  18    26        3
  07/01/2022  18    109      7
  07/01/2022  18    209      4
  07/01/2022  18    557      10
  07/01/2022  18    786      6
  07/01/2022  18    1103    1
  07/01/2022  18    1653    5
  07/01/2022  18    1668    4
  07/01/2022  18    2152    21
  07/01/2022  18    2386    7
  07/01/2022  18    2834    23
  07/01/2022  18    3356    5
  07/01/2022  18    3561    5
  07/01/2022  18    3701    4
  07/01/2022  18    3999    1
  07/01/2022  18    4266    4
  07/01/2022  18    5653    16
  07/01/2022  18    5662    13
  07/01/2022  18    6140    4
  07/01/2022  18    6453    4
  07/01/2022  18    6939    4
  07/01/2022  18    7805    1
  07/01/2022  18    8001    4
  07/01/2022  18    8070    6
  07/01/2022  18    8075    7
  07/01/2022  18    8468    6
  07/01/2022  18    10913  4
  07/01/2022  18    12552  4
  07/01/2022  18    13890  4
  07/01/2022  18    15169  228
  07/01/2022  18    15290  1
  07/01/2022  18    17374  5
  07/01/2022  18    21844  1
  07/01/2022  18    22205  4
  07/01/2022  18    22822  8
  07/01/2022  18    22982  4
  07/01/2022  18    27357  2
  07/01/2022  18    33554  4
  07/01/2022  19    102      43
  07/01/2022  19    209      6
  07/01/2022  19    559      1
  07/01/2022  19    701      8
  07/01/2022  19    1239    17
  07/01/2022  19    2152    193
  07/01/2022  19    2911    71
  07/01/2022  19    3356    34
  07/01/2022  19    3561    13
  07/01/2022  19    4267    2
  07/01/2022  19    5779    104
  07/01/2022  19    6432    5
  07/01/2022  19    6453    7
  07/01/2022  19    7224    5
  07/01/2022  19    7743    32
  07/01/2022  19    8070    6
  07/01/2022  19    8075    2
  07/01/2022  19    8912    5
  07/01/2022  19    10565  1
  07/01/2022  19    10763  6
  07/01/2022  19    10794  7
  07/01/2022  19    11266  59
  07/01/2022  19    11486  15
  07/01/2022  19    11499  6
  07/01/2022  19    12182  9
  07/01/2022  19    12217  12
  07/01/2022  19    12222  7
  07/01/2022  19    14779  79
  07/01/2022  19    14780  328
  07/01/2022  19    15169  40
  07/01/2022  19    16509  15
  07/01/2022  19    17110  8
  07/01/2022  19    22758  4
  07/01/2022  19    26101  89
  07/01/2022  19    30217  6
  07/01/2022  19    33419  1
  07/01/2022  19    36088  217
  07/02/2022  10    209      1
  07/02/2022  10    701      1
  07/02/2022  10    766      1
  07/02/2022  10    2514    1
  07/02/2022  10    2711    1
  07/02/2022  10    2819    1
  07/02/2022  10    2856    1
  07/02/2022  10    3269    8
  07/02/2022  10    3320    1
  07/02/2022  10    3561    14
  07/02/2022  10    4766    1
  07/02/2022  10    5462    1
  07/02/2022  10    9038    1
  07/02/2022  10    9708    1
  07/02/2022  10    10139  1
  07/02/2022  10    11351  2
  07/02/2022  10    12322  1
  07/02/2022  10    12542  1
  07/02/2022  10    12946  1
  07/02/2022  10    13462  16
  07/02/2022  10    13749  849
  07/02/2022  10    15802  1
  07/02/2022  10    17506  2
  07/02/2022  10    17858  1
  07/02/2022  10    19262  1
  07/02/2022  10    20401  1
  07/02/2022  10    22909  1
  07/02/2022  10    24093  2
  07/02/2022  10    26085  1
  07/02/2022  10    26101  1
  07/02/2022  10    28573  1
  07/02/2022  10    33651  1
  07/02/2022  10    33657  1
  07/02/2022  10    35916  1
  07/02/2022  11    766      1
  07/02/2022  11    2852    2
  07/02/2022  11    2856    6
  07/02/2022  11    3265    1611
  07/02/2022  11    3269    50
  07/02/2022  11    3354    2
  07/02/2022  11    3549    1
  07/02/2022  11    3561    8
  07/02/2022  11    4134    2
  07/02/2022  11    4323    1
  07/02/2022  11    4766    1
  07/02/2022  11    4808    9
  07/02/2022  11    4812    1
  07/02/2022  11    4837    3
  07/02/2022  11    5432    1
  07/02/2022  11    6478    2
  07/02/2022  11    7132    1
  07/02/2022  11    11351  1
  07/02/2022  11    11427  2
  07/02/2022  11    11908  1
  07/02/2022  11    12302  53
  07/02/2022  11    12322  1
  07/02/2022  11    13571  2
  07/02/2022  11    13749  849
  07/02/2022  11    13767  4
  07/02/2022  11    14777  7
  07/02/2022  11    14778  16
  07/02/2022  11    15169  10
  07/02/2022  11    16852  2
  07/02/2022  11    17184  3
  07/02/2022  11    19548  2
  07/02/2022  11    19945  1
  07/02/2022  11    22773  1
  07/02/2022  11    32244  1
  07/02/2022  11    33287  1
  07/02/2022  11    33653  1
  07/02/2022  11    36727  1
  07/02/2022  12    174      1
  07/02/2022  12    766      1
  07/02/2022  12    1312    92
  07/02/2022  12    2637    1
  07/02/2022  12    2915    38
  07/02/2022  12    3557    1
  07/02/2022  12    3561    7
  07/02/2022  12    4323    16
  07/02/2022  12    7018    936
  07/02/2022  12    7132    4
  07/02/2022  12    7377    83
  07/02/2022  12    12513  3
  07/02/2022  12    13749  849
  07/02/2022  12    29863  4
  07/02/2022  13    766      2
  07/02/2022  13    3269    5
  07/02/2022  13    3354    2
  07/02/2022  13    3593    2
  07/02/2022  13    4134    4
  07/02/2022  13    4808    8
  07/02/2022  13    4837    1
  07/02/2022  13    13582  1
  07/02/2022  13    13749  1
  07/02/2022  13    17184  4
  07/02/2022  14    766      1
  07/02/2022  14    3269    29
  07/02/2022  14    4323    1
  07/02/2022  14    13749  390
  07/02/2022  14    14778  4
  07/02/2022  14    29895  413
  07/02/2022  14    31976  85
  07/02/2022  14    33651  18
  07/02/2022  15    209      1
  07/02/2022  15    766      1
  07/02/2022  15    2152    2
  07/02/2022  15    3269    5
  07/02/2022  15    3356    1
  07/02/2022  15    3593    1
  07/02/2022  15    4134    10
  07/02/2022  15    4808    7
  07/02/2022  15    4837    2
  07/02/2022  15    8070    5
  07/02/2022  15    8075    5
  07/02/2022  15    10139  7
  07/02/2022  15    11351  2
  07/02/2022  15    13749  1
  07/02/2022  15    13867  2
  07/02/2022  15    14366  4
  07/02/2022  15    17184  2
  07/02/2022  15    17429  2
  07/02/2022  16    766      1
  07/02/2022  16    3269    5
  07/02/2022  16    3354    2
  07/02/2022  16    4134    5
  07/02/2022  16    4808    8
  07/02/2022  16    4812    1
  07/02/2022  16    4837    2
  07/02/2022  16    13749  1
  07/02/2022  16    17184  2
  07/02/2022  17    109      7
  07/02/2022  17    2152    6
  07/02/2022  17    3561    1
  07/02/2022  17    8070    2
  07/02/2022  17    8075    2
  07/02/2022  17    17184  2
  07/02/2022  17    18924  48
  07/02/2022  18    109      7
  07/02/2022  18    3356    1
  07/02/2022  18    3701    4
  07/02/2022  18    8075    2
  07/02/2022  18    13749  570
  07/02/2022  18    15169  105
  07/02/2022  19    7132    2
  07/02/2022  19    8070    3
  07/03/2022  10    52        1
  07/03/2022  10    209      1
  07/03/2022  10    701      7
  07/03/2022  10    2856    1
  07/03/2022  10    3269    9
  07/03/2022  10    3462    1
  07/03/2022  10    3561    28
  07/03/2022  10    3790    1
  07/03/2022  10    4134    1
  07/03/2022  10    4323    1
  07/03/2022  10    4513    101
  07/03/2022  10    4766    3
  07/03/2022  10    4837    1
  07/03/2022  10    5384    1
  07/03/2022  10    5486    1
  07/03/2022  10    6147    1
  07/03/2022  10    6432    1
  07/03/2022  10    6724    1
  07/03/2022  10    7029    1
  07/03/2022  10    8151    1
  07/03/2022  10    8167    1
  07/03/2022  10    9121    2
  07/03/2022  10    9394    1
  07/03/2022  10    9811    1
  07/03/2022  10    12270  1
  07/03/2022  10    12970  1
  07/03/2022  10    13462  17
  07/03/2022  10    13867  1
  07/03/2022  10    16338  1
  07/03/2022  10    18229  1
  07/03/2022  10    19115  1
  07/03/2022  10    19864  48
  07/03/2022  10    26085  3
  07/03/2022  10    26101  2
  07/03/2022  10    31976  1
  07/03/2022  10    33650  1
  07/03/2022  10    33651  1
  07/03/2022  10    36727  2
  07/03/2022  11    3          5
  07/03/2022  11    209      1
  07/03/2022  11    680      2
  07/03/2022  11    2711    1
  07/03/2022  11    3265    1564
  07/03/2022  11    3269    30
  07/03/2022  11    3320    1074
  07/03/2022  11    3462    1
  07/03/2022  11    3561    1
  07/03/2022  11    4134    7
  07/03/2022  11    4230    1
  07/03/2022  11    4513    101
  07/03/2022  11    4766    3
  07/03/2022  11    5617    1
  07/03/2022  11    5668    2
  07/03/2022  11    6388    1
  07/03/2022  11    6461    6
  07/03/2022  11    6478    1
  07/03/2022  11    7015    1
  07/03/2022  11    7132    5
  07/03/2022  11    7303    1
  07/03/2022  11    7718    1
  07/03/2022  11    9271    2
  07/03/2022  11    9394    1
  07/03/2022  11    9808    1
  07/03/2022  11    9908    1
  07/03/2022  11    9929    2
  07/03/2022  11    11427  1
  07/03/2022  11    11456  1
  07/03/2022  11    12271  1
  07/03/2022  11    12302  190
  07/03/2022  11    12322  1
  07/03/2022  11    13767  4
  07/03/2022  11    14742  2
  07/03/2022  11    14777  12
  07/03/2022  11    14778  13
  07/03/2022  11    14780  1
  07/03/2022  11    15169  5
  07/03/2022  11    17974  2
  07/03/2022  11    18229  1
  07/03/2022  11    19318  2
  07/03/2022  11    19429  2
  07/03/2022  11    20676  2
  07/03/2022  11    22773  1
  07/03/2022  11    32244  1
  07/03/2022  11    33287  2
  07/03/2022  11    33651  1
  07/03/2022  11    33668  1
  07/03/2022  12    1312    103
  07/03/2022  12    2637    1
  07/03/2022  12    3269    3
  07/03/2022  12    3561    4
  07/03/2022  12    3701    1
  07/03/2022  12    4323    8
  07/03/2022  12    4513    101
  07/03/2022  12    4766    1
  07/03/2022  12    5617    10
  07/03/2022  12    6106    1
  07/03/2022  12    7018    933
  07/03/2022  12    7065    1
  07/03/2022  12    7132    5
  07/03/2022  12    7377    94
  07/03/2022  12    9316    1
  07/03/2022  12    9394    1
  07/03/2022  12    12260  4
  07/03/2022  12    16572  8
  07/03/2022  12    18229  1
  07/03/2022  12    19306  3
  07/03/2022  12    29863  8
  07/03/2022  12    30099  4
  07/03/2022  13    680      2
  07/03/2022  13    3269    6
  07/03/2022  13    4134    6
  07/03/2022  13    4230    1
  07/03/2022  13    4513    1
  07/03/2022  13    4766    2
  07/03/2022  13    4808    1
  07/03/2022  13    7132    1
  07/03/2022  13    9271    1
  07/03/2022  13    9394    1
  07/03/2022  13    17429  1
  07/03/2022  13    18229  1
  07/03/2022  13    19318  1
  07/03/2022  14    3269    6
  07/03/2022  14    4513    101
  07/03/2022  14    4766    1
  07/03/2022  14    7132    15
  07/03/2022  14    9394    1
  07/03/2022  14    9803    2
  07/03/2022  14    14777  2
  07/03/2022  14    18229  1
  07/03/2022  14    22855  34
  07/03/2022  14    31976  82
  07/03/2022  15    680      2
  07/03/2022  15    2152    2
  07/03/2022  15    3269    6
  07/03/2022  15    3561    4
  07/03/2022  15    4134    3
  07/03/2022  15    4230    2
  07/03/2022  15    4513    2
  07/03/2022  15    4766    1
  07/03/2022  15    4808    3
  07/03/2022  15    6432    4
  07/03/2022  15    7132    2
  07/03/2022  15    8070    6
  07/03/2022  15    8075    6
  07/03/2022  15    9156    1
  07/03/2022  15    9271    2
  07/03/2022  15    9316    1
  07/03/2022  15    9394    1
  07/03/2022  15    12222  3
  07/03/2022  15    13867  2
  07/03/2022  15    14779  1
  07/03/2022  15    15169  3
  07/03/2022  15    18229  2
  07/03/2022  15    19318  6
  07/03/2022  15    21844  1
  07/03/2022  15    22781  1
  07/03/2022  15    26085  1
  07/03/2022  15    26101  2
  07/03/2022  15    26201  1
  07/03/2022  16    680      2
  07/03/2022  16    3269    6
  07/03/2022  16    4134    9
  07/03/2022  16    4230    1
  07/03/2022  16    4513    2
  07/03/2022  16    4766    1
  07/03/2022  16    4808    1
  07/03/2022  16    4837    1
  07/03/2022  16    7132    2
  07/03/2022  16    9271    2
  07/03/2022  16    9394    1
  07/03/2022  16    9808    1
  07/03/2022  16    18229  2
  07/03/2022  16    19318  2
  07/03/2022  16    23844  1
  07/03/2022  16    33314  1
  07/03/2022  17    3          2
  07/03/2022  17    109      7
  07/03/2022  17    1103    3
  07/03/2022  17    1239    7
  07/03/2022  17    1784    2
  07/03/2022  17    2152    33
  07/03/2022  17    2637    1
  07/03/2022  17    2914    36
  07/03/2022  17    3320    2
  07/03/2022  17    3356    1
  07/03/2022  17    3561    5
  07/03/2022  17    3701    3
  07/03/2022  17    4264    2
  07/03/2022  17    6102    2
  07/03/2022  17    6432    8
  07/03/2022  17    6461    1
  07/03/2022  17    7018    1
  07/03/2022  17    7132    2
  07/03/2022  17    8070    1
  07/03/2022  17    8075    2
  07/03/2022  17    8121    3
  07/03/2022  17    8560    1
  07/03/2022  17    9156    11
  07/03/2022  17    10565  11
  07/03/2022  17    10910  9
  07/03/2022  17    12182  3
  07/03/2022  17    12222  4
  07/03/2022  17    13649  1
  07/03/2022  17    13749  1
  07/03/2022  17    14745  1
  07/03/2022  17    14992  4
  07/03/2022  17    15169  130
  07/03/2022  17    16966  16
  07/03/2022  17    18924  56
  07/03/2022  17    19024  2
  07/03/2022  17    19355  2
  07/03/2022  17    21844  46
  07/03/2022  17    23352  4
  07/03/2022  17    25751  7
  07/03/2022  17    30081  29
  07/03/2022  17    30380  10
  07/03/2022  17    33694  2
  07/03/2022  18    25        3
  07/03/2022  18    109      7
  07/03/2022  18    786      1
  07/03/2022  18    2386    36
  07/03/2022  18    2553    41
  07/03/2022  18    2843    4
  07/03/2022  18    3561    10
  07/03/2022  18    3701    4
  07/03/2022  18    3999    1
  07/03/2022  18    4267    2
  07/03/2022  18    4323    17
  07/03/2022  18    6307    10
  07/03/2022  18    6334    20
  07/03/2022  18    7132    22
  07/03/2022  18    7258    3
  07/03/2022  18    8070    2
  07/03/2022  18    10763  2
  07/03/2022  18    11734  1
  07/03/2022  18    11771  10
  07/03/2022  18    12222  4
  07/03/2022  18    13749  279
  07/03/2022  18    15169  253
  07/03/2022  18    17820  2
  07/03/2022  18    18229  169
  07/03/2022  18    22822  14
  07/03/2022  18    23123  3
  07/03/2022  18    30217  26
  07/03/2022  18    30315  2
  07/03/2022  18    30387  3
  07/03/2022  19    102      8
  07/03/2022  19    209      7
  07/03/2022  19    797      143
  07/03/2022  19    1239    3
  07/03/2022  19    2013    19
  07/03/2022  19    2152    14
  07/03/2022  19    3356    2
  07/03/2022  19    3561    7
  07/03/2022  19    3707    81
  07/03/2022  19    4355    4
  07/03/2022  19    6307    11
  07/03/2022  19    6334    3
  07/03/2022  19    6432    3
  07/03/2022  19    6453    10
  07/03/2022  19    6939    3
  07/03/2022  19    7018    6
  07/03/2022  19    7224    4
  07/03/2022  19    7743    23
  07/03/2022  19    7912    3
  07/03/2022  19    8002    1
  07/03/2022  19    8070    3
  07/03/2022  19    10565  1
  07/03/2022  19    10763  6
  07/03/2022  19    10794  8
  07/03/2022  19    11266  44
  07/03/2022  19    12168  4
  07/03/2022  19    12179  6
  07/03/2022  19    12182  9
  07/03/2022  19    12217  12
  07/03/2022  19    14297  10
  07/03/2022  19    14443  12
  07/03/2022  19    14744  2
  07/03/2022  19    15104  60
  07/03/2022  19    15169  255
  07/03/2022  19    17392  5
  07/03/2022  19    19296  5
  07/03/2022  19    19355  3
  07/03/2022  19    19536  26
  07/03/2022  19    20461  6
  07/03/2022  19    30678  7
  07/04/2022  10    701      4
  07/04/2022  10    2152    1
  07/04/2022  10    3064    1
  07/04/2022  10    3269    7
  07/04/2022  10    3462    1
  07/04/2022  10    3561    34
  07/04/2022  10    4538    1
  07/04/2022  10    4766    2714
  07/04/2022  10    4808    1
  07/04/2022  10    4812    1
  07/04/2022  10    4837    1
  07/04/2022  10    5760    1
  07/04/2022  10    6724    1
  07/04/2022  10    7018    1
  07/04/2022  10    7029    2
  07/04/2022  10    7132    1
  07/04/2022  10    8167    1
  07/04/2022  10    9121    1
  07/04/2022  10    9800    65
  07/04/2022  10    10796  1
  07/04/2022  10    11172  1
  07/04/2022  10    11398  1
  07/04/2022  10    13462  32
  07/04/2022  10    13609  1
  07/04/2022  10    14780  1
  07/04/2022  10    18229  79
  07/04/2022  10    19191  1
  07/04/2022  10    19262  2
  07/04/2022  10    20172  1
  07/04/2022  10    22291  2
  07/04/2022  10    22773  1
  07/04/2022  10    22909  1
  07/04/2022  10    23520  1
  07/04/2022  10    26085  3
  07/04/2022  10    27262  1
  07/04/2022  10    31976  1
  07/04/2022  10    33774  1
  07/04/2022  10    35908  1
  07/04/2022  11    852      2
  07/04/2022  11    1103    2
  07/04/2022  11    2418    2
  07/04/2022  11    2516    3
  07/04/2022  11    2828    2
  07/04/2022  11    3242    1
  07/04/2022  11    3265    1493
  07/04/2022  11    3269    20
  07/04/2022  11    3354    2
  07/04/2022  11    3356    1
  07/04/2022  11    3462    1
  07/04/2022  11    3561    6
  07/04/2022  11    3741    2
  07/04/2022  11    4134    8
  07/04/2022  11    4266    2
  07/04/2022  11    4323    1
  07/04/2022  11    4589    2
  07/04/2022  11    4766    15
  07/04/2022  11    4812    4
  07/04/2022  11    4837    3
  07/04/2022  11    5379    3
  07/04/2022  11    6713    5
  07/04/2022  11    8075    2
  07/04/2022  11    8708    1
  07/04/2022  11    9269    1
  07/04/2022  11    9271    2
  07/04/2022  11    9800    1
  07/04/2022  11    9808    1
  07/04/2022  11    9812    1
  07/04/2022  11    9929    1
  07/04/2022  11    11232  1
  07/04/2022  11    11351  3
  07/04/2022  11    12302  201
  07/04/2022  11    14777  12
  07/04/2022  11    14778  6
  07/04/2022  11    15169  12
  07/04/2022  11    17429  1
  07/04/2022  11    18229  66
  07/04/2022  11    19191  18
  07/04/2022  11    20115  2
  07/04/2022  11    22773  1
  07/04/2022  11    31094  1
  07/04/2022  11    33651  2
  07/04/2022  12    81        29
  07/04/2022  12    1312    85
  07/04/2022  12    2914    1
  07/04/2022  12    3269    4
  07/04/2022  12    3462    1
  07/04/2022  12    3561    11
  07/04/2022  12    4812    1
  07/04/2022  12    5617    411
  07/04/2022  12    7018    935
  07/04/2022  12    7065    1
  07/04/2022  12    7132    3
  07/04/2022  12    7377    73
  07/04/2022  12    9800    1
  07/04/2022  12    18229  11
  07/04/2022  12    19181  1
  07/04/2022  12    29863  8
  07/04/2022  12    30099  4
  07/04/2022  12    33260  4
  07/04/2022  13    852      1
  07/04/2022  13    2418    1
  07/04/2022  13    3269    26
  07/04/2022  13    3354    2
  07/04/2022  13    4134    1
  07/04/2022  13    4589    2
  07/04/2022  13    4812    4
  07/04/2022  13    9271    1
  07/04/2022  13    9800    2
  07/04/2022  13    9812    1
  07/04/2022  13    18229  4
  07/04/2022  13    27699  2
  07/04/2022  14    3269    4
  07/04/2022  14    4323    1
  07/04/2022  14    4812    1
  07/04/2022  14    7132    15
  07/04/2022  14    9800    1
  07/04/2022  14    14778  7
  07/04/2022  14    18229  14
  07/04/2022  14    20001  14
  07/04/2022  14    29895  28
  07/04/2022  14    31976  83
  07/04/2022  14    33651  19
  07/04/2022  15    852      2
  07/04/2022  15    2152    2
  07/04/2022  15    2418    2
  07/04/2022  15    3269    22
  07/04/2022  15    3354    2
  07/04/2022  15    3356    1
  07/04/2022  15    3561    2
  07/04/2022  15    4134    4
  07/04/2022  15    4589    4
  07/04/2022  15    4812    1
  07/04/2022  15    8070    4
  07/04/2022  15    8075    5
  07/04/2022  15    9271    2
  07/04/2022  15    9800    2
  07/04/2022  15    9812    1
  07/04/2022  15    13867  2
  07/04/2022  15    18229  2
  07/04/2022  15    19191  2
  07/04/2022  15    27699  2
  07/04/2022  16    4          1
  07/04/2022  16    852      2
  07/04/2022  16    2418    1
  07/04/2022  16    3269    38
  07/04/2022  16    3354    2
  07/04/2022  16    4134    2
  07/04/2022  16    4589    2
  07/04/2022  16    4812    1
  07/04/2022  16    9271    4
  07/04/2022  16    9800    2
  07/04/2022  16    9808    1
  07/04/2022  16    9812    1
  07/04/2022  16    9929    1
  07/04/2022  16    17429  1
  07/04/2022  16    18229  2
  07/04/2022  16    19191  4
  07/04/2022  16    27699  4
  07/04/2022  17    109      8
  07/04/2022  17    209      3
  07/04/2022  17    852      2
  07/04/2022  17    2152    34
  07/04/2022  17    3356    1
  07/04/2022  17    3561    2
  07/04/2022  17    4264    1
  07/04/2022  17    6432    9
  07/04/2022  17    7018    3
  07/04/2022  17    8070    3
  07/04/2022  17    9156    1
  07/04/2022  17    9271    4
  07/04/2022  17    10565  1
  07/04/2022  17    12168  2
  07/04/2022  17    15169  52
  07/04/2022  17    17225  4
  07/04/2022  17    18924  48
  07/04/2022  17    19306  7
  07/04/2022  17    21568  7
  07/04/2022  17    21844  3
  07/04/2022  17    22758  2
  07/04/2022  17    25751  1
  07/04/2022  17    27699  1
  07/04/2022  17    29668  1
  07/04/2022  18    3          4
  07/04/2022  18    38        8
  07/04/2022  18    109      8
  07/04/2022  18    209      1
  07/04/2022  18    271      8
  07/04/2022  18    559      11
  07/04/2022  18    701      3
  07/04/2022  18    786      3
  07/04/2022  18    852      1
  07/04/2022  18    1668    11
  07/04/2022  18    2152    10
  07/04/2022  18    3268    12
  07/04/2022  18    3462    5
  07/04/2022  18    3561    2
  07/04/2022  18    3701    4
  07/04/2022  18    4265    3
  07/04/2022  18    4266    1
  07/04/2022  18    4378    38
  07/04/2022  18    5662    41
  07/04/2022  18    5719    9
  07/04/2022  18    6140    1
  07/04/2022  18    6453    1
  07/04/2022  18    7377    7
  07/04/2022  18    8001    1
  07/04/2022  18    8070    4
  07/04/2022  18    8075    3
  07/04/2022  18    9271    1
  07/04/2022  18    10913  1
  07/04/2022  18    11078  2
  07/04/2022  18    11486  10
  07/04/2022  18    12552  1
  07/04/2022  18    13890  1
  07/04/2022  18    14492  8
  07/04/2022  18    15169  296
  07/04/2022  18    17374  2
  07/04/2022  18    18229  684
  07/04/2022  18    22205  1
  07/04/2022  18    22822  2
  07/04/2022  18    22982  1
  07/04/2022  18    27357  2
  07/04/2022  18    30315  10
  07/04/2022  18    33070  6
  07/04/2022  18    33554  1
  07/04/2022  18    36017  7
  07/04/2022  19    7132    2
  07/04/2022  19    8070    3
  07/04/2022  19    11922  1
  07/05/2022  10    553      4
  07/05/2022  10    701      12
  07/05/2022  10    1967    1
  07/05/2022  10    2514    1
  07/05/2022  10    3269    2
  07/05/2022  10    3320    1
  07/05/2022  10    3356    1
  07/05/2022  10    3561    68
  07/05/2022  10    3786    1
  07/05/2022  10    4134    1
  07/05/2022  10    4230    2
  07/05/2022  10    4323    2
  07/05/2022  10    4538    4
  07/05/2022  10    4544    1
  07/05/2022  10    4788    1
  07/05/2022  10    4837    4
  07/05/2022  10    5617    1
  07/05/2022  10    5778    1
  07/05/2022  10    6432    2
  07/05/2022  10    6461    1
  07/05/2022  10    6471    1
  07/05/2022  10    6478    2
  07/05/2022  10    6724    1
  07/05/2022  10    6939    2
  07/05/2022  10    8708    1
  07/05/2022  10    9121    1
  07/05/2022  10    11305  1
  07/05/2022  10    11351  1
  07/05/2022  10    11427  1
  07/05/2022  10    13462  18
  07/05/2022  10    13749  2
  07/05/2022  10    13867  2
  07/05/2022  10    14492  1
  07/05/2022  10    15802  1
  07/05/2022  10    16814  1
  07/05/2022  10    19296  1
  07/05/2022  10    20401  1
  07/05/2022  10    21864  1
  07/05/2022  10    26085  1
  07/05/2022  10    27715  1
  07/05/2022  10    29571  4
  07/05/2022  10    33287  2
  07/05/2022  11    55        2
  07/05/2022  11    286      3
  07/05/2022  11    553      1
  07/05/2022  11    680      1
  07/05/2022  11    2852    2
  07/05/2022  11    3265    1469
  07/05/2022  11    3561    13
  07/05/2022  11    4134    2
  07/05/2022  11    4266    4
  07/05/2022  11    4323    1
  07/05/2022  11    4538    1
  07/05/2022  11    4766    4405
